study_id,author,year,sample_size,mean_age,sd_age,percent_male,combined_clinical_group,clinical_group,comparison_group,measure_type,belief_type,symptom_subtype,trauma_subtype,psychosis_specificity,suicidal_ideation,effect_size,effect_size_type,effect_size_sd,effect_size_se,ci_lower,ci_upper,p_value,bcss_pos_self_mean,bcss_pos_self_sd,bcss_neg_self_mean,bcss_neg_self_sd,bcss_pos_other_mean,bcss_pos_other_sd,bcss_neg_other_mean,bcss_neg_other_sd,symptom_measure,symptom_score_mean,symptom_score_sd,depression_measure,depression_score_mean,depression_score_sd,notes,ephpp_global_rating,effect_size_r,fishers_z,fishers_z_se,belief_category,symptom_category,trauma_category
11,Bortolon et al,2017,425,36.23,15.2,20.9,non_clinical_ples,non_clinical,NA,YSQ_SF,abandonment,auditory_halluciations_proneness_LSHS-R,NA,AH_proneness,NA,0.021,cohens_f2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.04867923835112355,negative_other,NA,NA
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,defectiveness/shame,psychotic_experiences_CAPE,NA,unusual_experiences,NA,0.165,beta_coefficient,NA,NA,0.035,0.296,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,negative_self,NA,NA
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,dependence/incompetence,psychotic_experiences_CAPE,NA,unusual_experiences,NA,0.332,beta_coefficient,NA,NA,0.191,0.473,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,negative_self,NA,NA
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,enmeshment,psychotic_experiences_CAPE,NA,unusual_experiences,NA,0.219,beta_coefficient,NA,NA,0.11,0.329,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,NA,NA,NA
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,emotional_inhibition,psychotic_experiences_CAPE,NA,unusual_experiences,NA,-0.16,beta_coefficient,NA,NA,-0.277,-0.043,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,NA,NA,NA
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,defectiveness/shame,physical_abuse,physical_abuse,NA,NA,0.065,beta_coefficient,NA,0.07,-0.084,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,negative_self,NA,physical_abuse
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,dependence/incompetence,physical_abuse,physical_abuse,NA,NA,-0.049,beta_coefficient,NA,0.06,-0.181,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,negative_self,NA,physical_abuse
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,enmeshment,physical_abuse,physical_abuse,NA,NA,-0.135,beta_coefficient,NA,0.08,-0.291,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,NA,NA,physical_abuse
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,emotional_inhibition,physical_abuse,physical_abuse,NA,NA,-0.086,beta_coefficient,NA,0.04,-0.18,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,NA,NA,physical_abuse
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,defectiveness/shame,emotional_abuse,emotional_abuse,NA,NA,0.226,beta_coefficient,NA,0.09,0.05,0.403,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,negative_self,NA,emotional_abuse
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,dependence/incompetence,emotional_abuse,emotional_abuse,NA,NA,0.249,beta_coefficient,NA,0.1,0.046,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,negative_self,NA,emotional_abuse
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,enmeshment,emotional_abuse,emotional_abuse,NA,NA,0.287,beta_coefficient,NA,0.09,0.095,0.479,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,NA,NA,emotional_abuse
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,emotional_inhibition,emotional_abuse,emotional_abuse,NA,NA,0.044,beta_coefficient,NA,0.07,-0.093,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,NA,NA,emotional_abuse
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,defectiveness/shame,neglect,physical_neglect,NA,NA,0.049,beta_coefficient,NA,0.08,-0.212,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,negative_self,NA,physical_neglect
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,dependence/incompetence,neglect,physical_neglect,NA,NA,-0.016,beta_coefficient,NA,0.07,-0.161,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,negative_self,NA,physical_neglect
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,enmeshment,neglect,physical_neglect,NA,NA,-0.037,beta_coefficient,NA,0.08,-0.212,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,NA,NA,physical_neglect
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,emotional_inhibition,neglect,physical_neglect,NA,NA,0.032,beta_coefficient,NA,0.04,-0.056,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,NA,NA,physical_neglect
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,defectiveness/shame,sexual_abuse,sexual_abuse,NA,NA,0.124,beta_coefficient,NA,0.05,0.008,0.241,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,negative_self,NA,sexual_abuse
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,dependence/incompetence,sexual_abuse,sexual_abuse,NA,NA,0.235,beta_coefficient,NA,0.07,0.084,0.386,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,negative_self,NA,sexual_abuse
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,enmeshment,sexual_abuse,sexual_abuse,NA,NA,0.18,beta_coefficient,NA,0.07,0.032,0.32,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,NA,NA,sexual_abuse
12,Boyda et al,2018,302,36,11.6,30.13,non_clinical_ples,non_clinical,NA,YSQ_SF,emotional_inhibition,sexual_abuse,sexual_abuse,NA,NA,-0.056,beta_coefficient,NA,0.02,-0.101,-0.011,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.05783149319662402,NA,NA,sexual_abuse
13,Braun et al,2022,203,17.4,3.9,48.8,chr,chr,NA,BCSS,negative_self,bullying,emotional_abuse,NA,NA,-0.25,cohens_d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.12403473458920847,-0.1246767469214428,0.07071067811865475,negative_self,NA,emotional_abuse
13,Braun et al,2022,203,17.4,3.9,48.8,chr,chr,NA,BCSS,negative_self,non_bullying,NA,NA,NA,-0.25,cohens_d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.12403473458920847,-0.1246767469214428,0.07071067811865475,negative_self,NA,NA
13,Braun et al,2022,203,17.4,3.9,48.8,chr,chr,NA,BCSS,negative_other,bullying,emotional_abuse,NA,NA,-0.35,cohens_d,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.1723803317522482,-0.17411886082400202,0.07071067811865475,negative_other,NA,emotional_abuse
13,Braun et al,2022,203,17.4,3.9,48.8,chr,chr,NA,BCSS,negative_other,non_bullying,NA,NA,NA,-0.35,cohens_d,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.1723803317522482,-0.17411886082400202,0.07071067811865475,negative_other,NA,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative_self,paranoia_to_social_anxiety,NA,NA,NA,0.32,pearsons_r,NA,NA,0.11,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.32,0.33164710870513214,0.0873704056661038,negative_self,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative_other,paranoia_to_social_anxiety,NA,NA,NA,0.1,pearsons_r,NA,NA,-0.12,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.1,0.10033534773107562,0.0873704056661038,negative_other,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative_self,social_anxiety_to_paranoia,NA,NA,NA,-0.04,pearsons_r,NA,NA,-0.26,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.04,-0.04002135383676825,0.0873704056661038,negative_self,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative_other,social_anxiety_to_paranoia,NA,NA,NA,0.3,pearsons_r,NA,NA,0.11,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.3,0.3095196042031118,0.0873704056661038,negative_other,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative_self,loneliness_to_paranoia,NA,NA,NA,-0.05,pearsons_r,NA,NA,-0.27,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.05,-0.05004172927849133,0.0873704056661038,negative_self,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative_other,loneliness_to_paranoia,NA,NA,NA,-0.23,pearsons_r,NA,NA,-0.43,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.23,-0.23418946675936678,0.0873704056661038,negative_other,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative_self,paranoia_to_loneliness,NA,NA,NA,0.24,pearsons_r,NA,NA,-0.01,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.24,0.2447741126593529,0.0873704056661038,negative_self,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative_other,paranoia_to_loneliness,NA,NA,NA,0.15,pearsons_r,NA,NA,-0.09,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.15,0.15114043593646675,0.0873704056661038,negative_other,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative__self,paranoid_thinking_scale_GPTS,NA,paranoid_thinking_scale_GPTS,NA,0.503,pearsons_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.503,0.5533141818281729,0.0873704056661038,negative_self,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative__self,schizotypal_personality_positive_symtpoms,NA,schizotypal_personality_positive_symtpoms,NA,0.374,pearsons_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.374,0.3930655508410981,0.0873704056661038,negative_self,NA,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative__self,schizotypal_personality_negative_symtpoms,NA,schizotypal_personality_negative_symtpoms,NA,0.509,pearsons_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.509,0.5613791654866641,0.0873704056661038,negative_self,negative_symptoms,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,positive_self,paranoid_thinking_scale_GPTS,NA,paranoid_thinking_scale_GPTS,NA,-0.222,pearsons_r,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.222,-0.22575880777657448,0.0873704056661038,positive_self,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,positive_self,schizotypal_personality_positive_symtpoms,NA,schizotypal_personality_positive_symtpoms,NA,-0.153,pearsons_r,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.153,-0.15421091280850233,0.0873704056661038,positive_self,NA,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,positive_self,schizotypal_personality_negative_symtpoms,NA,schizotypal_personality_negative_symtpoms,NA,-0.425,pearsons_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.425,-0.45377852595270024,0.0873704056661038,positive_self,negative_symptoms,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative_other,paranoid_thinking_scale_GPTS,NA,paranoid_thinking_scale_GPTS,NA,0.626,pearsons_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.626,0.734811246346612,0.0873704056661038,negative_other,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative_other,schizotypal_personality_positive_symtpoms,NA,schizotypal_personality_positive_symtpoms,NA,0.478,pearsons_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.478,0.5203887568127542,0.0873704056661038,negative_other,NA,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,negative_other,schizotypal_personality_negative_symtpoms,NA,schizotypal_personality_negative_symtpoms,NA,0.372,pearsons_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.372,0.3907423209088159,0.0873704056661038,negative_other,negative_symptoms,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,positive_other,paranoid_thinking_scale_GPTS,NA,paranoid_thinking_scale_GPTS,NA,-0.337,pearsons_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.337,-0.35070429345804033,0.0873704056661038,positive_other,persecutory,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,positive_other,schizotypal_personality_positive_symtpoms,NA,schizotypal_personality_positive_symtpoms,NA,-0.345,pearsons_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.345,-0.3597570282003438,0.0873704056661038,positive_other,NA,NA
14,Chau et al,2023,134,20.33,2.91,41.8,non_clinical_ples,non_clinical,NA,BCSS,positive_other,schizotypal_personality_negative_symtpoms,NA,schizotypal_personality_negative_symtpoms,NA,-0.438,pearsons_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,-0.438,-0.4697533441936504,0.0873704056661038,positive_other,negative_symptoms,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,negative_self,pre_cbt_intervention,NA,NA,NA,-0.382,cohens_d,7.85,NA,NA,NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,-0.18760857925153815,-0.18985734880806676,0.2182178902359924,negative_self,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,negative_other,pre_cbt_intervention,NA,NA,NA,-0.379,cohens_d,7.12,NA,NA,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,-0.18618648335269686,-0.1883837798485272,0.2182178902359924,negative_other,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,negative_self,post_cbt_intervention,NA,NA,NA,-0.382,cohens_d,4.57,NA,NA,NA,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,-0.18760857925153815,-0.18985734880806676,0.2182178902359924,negative_self,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,negative_other,post_cbt_intervention,NA,NA,NA,-0.379,cohens_d,4.36,NA,NA,NA,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,-0.18618648335269686,-0.1883837798485272,0.2182178902359924,negative_other,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,positive_self,pre_cbt_intervention,NA,NA,NA,0.405,cohens_d,5.8,NA,NA,NA,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.19847159463620556,0.20114097057762012,0.2182178902359924,positive_self,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,positive_other,pre_cbt_intervention,NA,NA,NA,0.808,cohens_d,5.22,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.374585689250058,0.3937466602347754,0.2182178902359924,positive_other,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,positive_self,post_cbt_intervention,NA,NA,NA,0.405,cohens_d,7.32,NA,NA,NA,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.19847159463620556,0.20114097057762012,0.2182178902359924,positive_self,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,positive_other,post_cbt_intervention,NA,NA,NA,0.808,cohens_d,6.05,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.374585689250058,0.3937466602347754,0.2182178902359924,positive_other,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,negative__self,positive_symptoms_psychosis,NA,positive_symptoms_psychosis,NA,0.13,r_squared,NA,NA,NA,NA,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.36055512754639896,0.37752383215050744,0.2182178902359924,negative_self,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,negative_self,negative_symptoms_psychosis,NA,negative_symptoms_psychosis,NA,0.026,r_squared,NA,NA,NA,NA,0.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.161245154965971,0.16266482654950223,0.2182178902359924,negative_self,negative_symptoms,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,positive_self,positive_symptoms_psychosis,NA,positive_symptoms_psychosis,NA,0.078,r_squared,NA,NA,NA,NA,0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.2792848008753788,0.2869062001696162,0.2182178902359924,positive_self,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,positive_self,negative_symptoms_psychosis,NA,negative_symptoms_psychosis,NA,0.168,r_squared,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.40987803063838396,0.4354646166355881,0.2182178902359924,positive_self,negative_symptoms,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,negative_other,positive_symptoms_psychosis,NA,positive_symptoms_psychosis,NA,0.292,r_squared,NA,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.5403702434442518,0.604678397994956,0.2182178902359924,negative_other,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,negative_other,negative_symptoms_psychosis,NA,negative_symptoms_psychosis,NA,0.064,r_squared,NA,NA,NA,NA,0.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.25298221281347033,0.25859638138585134,0.2182178902359924,negative_other,negative_symptoms,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,positive_other,positive_symptoms_psychosis,NA,positive_symptoms_psychosis,NA,0.017,r_squared,NA,NA,NA,NA,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.130384048104053,0.1311305199793191,0.2182178902359924,positive_other,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,positive_other,negative_symptoms_psychosis,NA,negative_symptoms_psychosis,NA,0.048,r_squared,NA,NA,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0.21908902300206645,0.22269899946209248,0.2182178902359924,positive_other,negative_symptoms,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,negative_self,NA,NA,NA,NA,2.2,t_test,NA,NA,0.17,5.83,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,0.2182178902359924,negative_self,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,positive_self,NA,NA,NA,NA,-1.49,t_test,NA,NA,-5.62,0.93,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,0.2182178902359924,positive_self,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,negative_other,NA,NA,NA,NA,1.96,t_test,NA,NA,-0.16,5.55,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,0.2182178902359924,negative_other,NA,NA
15,Chung et al,NA,24,25.67,4.79,79.17,psychosis,FEP_&_SZ,NA,BCSS,positive_other,NA,NA,NA,NA,-3.84,t_test,NA,NA,-6.49,-1.94,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,0.2182178902359924,positive_other,NA,NA
16,Chung et al,NA,34,33.59,9.85,44.12,psychosis,SZ_recovery,SZ_remission,BCSS,negative_self,NA,NA,NA,NA,-0.01,beta_coefficient,NA,NA,0.87,-1.13,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.1796053020267749,negative_self,NA,NA
16,Chung et al,NA,24,38.54,9.26,66.67,psychosis,SZ_recovery,SZ_remission,BCSS,positive_self,NA,NA,NA,NA,0.14,beta_coefficient,NA,NA,1.04,-1.27,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.2182178902359924,positive_self,NA,NA
16,Chung et al,NA,34,33.59,9.85,44.12,psychosis,SZ_recovery,SZ_remission,BCSS,negative_other,NA,NA,NA,NA,0.08,beta_coefficient,NA,NA,0.94,-1.26,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.1796053020267749,negative_other,NA,NA
16,Chung et al,NA,24,38.54,9.26,66.67,psychosis,SZ_recovery,SZ_remission,BCSS,positive_other,NA,NA,NA,NA,0.08,beta_coefficient,NA,NA,0.99,-1.18,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.2182178902359924,positive_other,NA,NA
16,Chung et al,NA,34,33.59,9.85,44.12,psychosis,SZ_recovery,NA,BCSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.76,6.61,3.33,4.54,9.36,7.7,3.27,4.81,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.1796053020267749,NA,NA,NA
16,Chung et al,NA,24,38.54,9.26,66.67,psychosis,NA,SZ_remission,BCSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74,5.34,3.52,3.62,5.96,5.43,1.96,3.04,NA,NA,NA,NA,NA,NA,NA,Strong,NA,NA,0.2182178902359924,NA,NA,NA
17,Cole et al,2017,180,36.65,11.06,38,psychosis,VH,NA,BCSS,negative_self,voice_distress,NA,AH_distress,NA,0.47,pearsons_r,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strong,0.47,0.5100703366133071,0.07516460280028289,negative_self,voice_hearing,NA
